Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/03/2024,07/04/2024,TILLAMOOK MARKET AT PDX,Food & Drink,Sale,-17.11,
07/03/2024,07/04/2024,0786-POOR YOUR NW TRAV,Shopping,Sale,-9.37,
07/02/2024,07/03/2024,IRINA MOGA DDS,Health & Wellness,Sale,-62.50,
07/02/2024,07/03/2024,TRAVEL CREDIT $300/YEAR,Fees & Adjustments,Adjustment,2.80,
07/02/2024,07/03/2024,HOP*00R2QYY TRIMET 70,Travel,Sale,-2.80,
07/02/2024,07/03/2024,SQ *MIKIKO MOCHI DONUTS -,Food & Drink,Sale,-20.50,
07/02/2024,07/03/2024,TRAVEL CREDIT $300/YEAR,Fees & Adjustments,Adjustment,2.80,
07/02/2024,07/03/2024,HOP*00R2QZ2 TRIMET 70,Travel,Sale,-2.80,
06/30/2024,07/02/2024,SAFEWAY #1073,Groceries,Sale,-19.55,
07/01/2024,07/01/2024,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-550.00,
06/30/2024,07/01/2024,AUNTIE ANNE'S,Food & Drink,Sale,-8.99,
06/30/2024,07/01/2024,TJMAXX #0343,Shopping,Sale,-22.98,
06/30/2024,07/01/2024,UWAJIMAYA,Groceries,Sale,-13.66,
06/30/2024,07/01/2024,FRED-MEYER #0035,Groceries,Sale,-17.66,
06/29/2024,06/30/2024,USPS PO 4006880100,Shopping,Sale,-1.39,
06/30/2024,06/30/2024,American Eagle 2254,Shopping,Sale,-19.98,
06/29/2024,06/30/2024,T J MAXX #1414,Shopping,Sale,-59.95,
06/29/2024,06/30/2024,COSTCO WHSE #0009,Shopping,Sale,-124.89,
06/29/2024,06/30/2024,HMART - PORTLAND,Groceries,Sale,-26.15,
06/30/2024,06/30/2024,Calvin Klein,Shopping,Sale,-62.00,
06/26/2024,06/28/2024,IRINA MOGA DDS,Health & Wellness,Sale,-14.00,
06/26/2024,06/27/2024,Amazon Prime*RC8RK34W2,Bills & Utilities,Sale,-6.99,
06/25/2024,06/25/2024,Payment Thank You-Mobile,,Payment,1899.43,
06/23/2024,06/25/2024,DUTCH BROS OR3103,Food & Drink,Sale,-11.40,
06/23/2024,06/24/2024,TST* NONNA EMILIA RISTORA,Food & Drink,Sale,-49.87,
06/22/2024,06/23/2024,STEAMGAMES.COM 4259522985,Entertainment,Sale,-39.99,
06/21/2024,06/23/2024,PANDA EXPRESS #694,Food & Drink,Sale,-10.40,
06/22/2024,06/23/2024,ROVER.COM* PET SVCS.,Personal,Return,168.72,
06/21/2024,06/23/2024,COSTCO WHSE #0009,Shopping,Sale,-146.48,
06/21/2024,06/23/2024,FRED-MEYER #0035,Groceries,Sale,-22.96,
06/21/2024,06/23/2024,BURGER KING #4159,Food & Drink,Sale,-5.99,
06/21/2024,06/23/2024,ASIAN FOOD CENTER,Groceries,Sale,-48.51,
06/21/2024,06/23/2024,USPS PO 4006880100,Shopping,Sale,-7.89,
06/21/2024,06/23/2024,SAFEWAY #1073,Groceries,Sale,-34.93,
06/18/2024,06/20/2024,TRADER JOE S #141,Groceries,Sale,-4.78,
06/16/2024,06/17/2024,CHIPOTLE 0512,Food & Drink,Sale,-20.90,
06/16/2024,06/17/2024,TJMAXX #0343,Shopping,Sale,-37.96,
06/16/2024,06/17/2024,JACK IN THE BOX 7118,Food & Drink,Sale,-29.30,
06/15/2024,06/16/2024,DONUT KING,Food & Drink,Sale,-11.99,
06/15/2024,06/16/2024,FRED-MEYER #0035,Groceries,Sale,-49.80,
06/13/2024,06/14/2024,EL DORADO IRRIGATION DIS,Bills & Utilities,Sale,-125.57,
06/12/2024,06/13/2024,AMZN Mktp US,Shopping,Return,28.44,
06/09/2024,06/13/2024,XIN DING DUMPLING HOUSE,Food & Drink,Sale,-50.85,
06/10/2024,06/11/2024,PORTLAND GENERAL ELECTRIC,Bills & Utilities,Sale,-53.78,
06/10/2024,06/11/2024,EL DORADO IRRIGATION DIS,Bills & Utilities,Sale,-125.57,
06/10/2024,06/11/2024,USPS PO 4006880100,Shopping,Sale,-15.77,
06/09/2024,06/11/2024,FRED-MEYER #0482,Groceries,Sale,-219.97,
06/10/2024,06/11/2024,AMZN Mktp US*569OS06U3,Shopping,Sale,-6.59,
06/09/2024,06/11/2024,OTAKU IMPORT EXPORT,Shopping,Sale,-40.90,
06/07/2024,06/10/2024,MUD BAY BEAVERTON TOWN SQ,Shopping,Sale,-16.48,
06/08/2024,06/10/2024,ASIAN FOOD CENTER,Groceries,Sale,-50.64,
06/09/2024,06/10/2024,COSTCO WHSE #0009,Shopping,Sale,-147.93,
06/10/2024,06/10/2024,GNC.COM,Groceries,Sale,-204.69,
06/09/2024,06/10/2024,AMZN Mktp US*CR9YJ0GG3,Shopping,Sale,-28.44,
06/08/2024,06/09/2024,SQ *FRESHFISH POKE,Food & Drink,Sale,-18.70,
06/08/2024,06/09/2024,SQ *WE FEAST LLC,Food & Drink,Sale,-18.70,
06/08/2024,06/09/2024,COSTCO GAS #0009,Gas,Sale,-38.45,
06/08/2024,06/09/2024,COSTCO WHSE #0009,Shopping,Sale,-163.74,
06/08/2024,06/09/2024,BVD*BeenVerified.com,Bills & Utilities,Sale,-29.99,
06/07/2024,06/09/2024,QFC #5202,Groceries,Sale,-4.00,
06/07/2024,06/09/2024,FRED-MEYER #0035,Groceries,Sale,-18.77,
06/07/2024,06/09/2024,QFC #5202,Groceries,Sale,-5.65,
06/08/2024,06/09/2024,GMART - BEAVERTON,Groceries,Sale,-17.44,
06/07/2024,06/09/2024,THE UPS STORE 859,Personal,Sale,-3.50,
06/08/2024,06/09/2024,ROVER.COM* PET SVCS.,Personal,Sale,-168.72,
